1001,Acoustic Guitar,Guitars and Bases,BreedLove, Recommended,300,3000
1002,Electro-Acoustic,Guitars and Bases,BreedLove,Top seller,2000,10000
1003,Synthesizer,Keyboard and Piano,Casio,Limited,1000,20000
1004,Digital Piano,Keyboard and Piano,Yamaha,Recommended,2500,25000
1005,Bongos,Drums,Tama,Top Seller,1000,10000
1006,Tabla,Drums,Sonor,Limited,3000,15000
1007,Picolo,Flutes,Pearl,Recommended,2700,9000
1008,Alto Flute,Flutes,Altus,Limited,2600,13000
1009,Diatonic,Harmonica,Lee Oster,Recommended,5700,19000
1010,Suzuki Hammond,Harmonica,Suzuki,Limited,8000,20000
1011,Khamak,Folk Instruments,Handmade,Limited,300,3000
1012,Kobza,Folk Instruments,Handmade,Recommend,800,4000
1013,Guitar Capo,Accessories,Top Stage,Top Seller,400,4000
1014,Microphone,Accessories,Rode,Limited,400,2000
